Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
Actin Polymerization Or Depolymerization (GO:0008154),Actin Polymerization Or Depolymerization (GO:0008154),0.465594793940924,1.35713177395835,0.0789177001127396,0.127781119543567,0.0789177001127396,,,ANG;ENAH;WASF3;JAK2;WIPF1;WASF1;ABI2;WAS;EVL;RAC1;TWF2;WASL;TWF1;CFL1,GO_Biological_Process_2023
Action Potential (GO:0001508),Action Potential (GO:0001508),0.488463532065897,1.49456567133293,0.0163785517886128,0.0340190575674958,0.0163785517886128,,,ANK3;KCNA1;KCNA2;KCNH6;KCNH7;KCNB1;SCN3B;SCN4A;SCN5A;KCNJ2;CHRNA1;CHRNA4;YWHAH;KCND2;KCNH2;KCNQ1;GNA14;GNA15;GNA11;GNAQ;KCNMB2;KCNMB3;KCNMB4,GO_Biological_Process_2023
Activation Of Adenylate Cyclase Activity (GO:0007190),Activation Of Adenylate Cyclase Activity (GO:0007190),-0.32110599078341,-1.21674118178065,0.17948717948718,0.251699232330112,0.17948717948718,,,PRSS8;ADORA3;P2RY11;EDNRA;LHCGR;AVPR2;GIPR;ADORA2B;CRHR1;CALCR;ADCYAP1;GLP1R;RAF1;DRD5;DRD1;ADRB3;ADRB1;ADRB2,GO_Biological_Process_2023
Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),Activation Of Cysteine-Type Endopeptidase Activity (GO:0097202),0.301618406880349,0.773845318557938,0.777372262773723,0.820433700070226,0.777372262773723,,,GRIN2A;BAD;TBC1D10A;CYFIP2;CASP9;RIPK2;CASP8;ASPH;CYCS;FADD,GO_Biological_Process_2023
Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),Activation Of Cysteine-Type Endopeptidase Activity Involved In Apoptotic Process (GO:0006919),0.398726471684649,1.30634006352707,0.081419624217119,0.130995128740431,0.081419624217119,,,EGLN3;RPS27L;CASP8AP2;CNTN1;ROBO1;SMAD3;PPARG;RACK1;LCK;MUL1;TNFSF15;VCP;BAD;JAK2;HIP1;BID;BBC3;ATP2A3;TNF;CASP9;SENP1;NGFR;NOD1;BAX;EIF2AK3;APAF1;NLRP12;BEX3;SLC22A2;PYCARD;IFT57;CASP8;SNCA;DYNLL1;CASP10;MAPT;S100A8;CASP2;S100A9;CYCS,GO_Biological_Process_2023
Activation Of GTPase Activity (GO:0090630),Activation Of GTPase Activity (GO:0090630),0.39130567904351,1.30063647350848,0.0736514522821577,0.120797915911319,0.0736514522821577,,,RAP1GAP2;SIPA1;SIPA1L1;NTRK3;RASGRP1;NTF3;RASGRF1;EPHA1;TBC1D10A;TBC1D10B;TBC1D10C;TBC1D13;TBC1D14;TBC1D15;TBC1D16;TBC1D17;TBC1D2;TBC1D25;TBC1D7;RHOG;TSC1;SCRIB;BCR;RAP1GAP;PIP5K1A;RALGAPA2;RALGAPB;TBC1D1;TBC1D4;TIAM1;RANGAP1;TIAM2;TAX1BP3;AGAP2,GO_Biological_Process_2023
Activation Of Phospholipase C Activity (GO:0007202),Activation Of Phospholipase C Activity (GO:0007202),0.364303991346955,1.0618858468154,0.408117249154453,0.490825395993063,0.408117249154453,,,RASGRP4;CD86;ANG;TXK;ITK;PLCB2;GNA15;GNAQ;HTR2A;HTR2B;PHB1;EGFR,GO_Biological_Process_2023
Activation Of Protein Kinase Activity (GO:0032147),Activation Of Protein Kinase Activity (GO:0032147),0.439314077999451,1.47762554481511,0.00822616828375912,0.0192475627248805,0.00822616828375912,,,MALT1;PRLR;WNT5A;FGF1;CD86;ANG;NTRK3;AXIN1;MTOR;PINK1;TNFSF15;PDPK1;PARK7;INS;NTF3;TGFBR2;JAK2;PDGFB;INSR;CHRNA3;MAP3K7;ADCY8;CAB39;CAB39L;STRADA;STRADB;LEP;ADRB2;ADRA2B;VEGFA;STK11;TRAF6;PRKCD;PTK2B;NRG1;TGFB2;CAMKK2;PPIA;IRAK1;ADRA2A;ADRA2C;PHB1;COPS8;BORA;ANGPT1;IL4;TLR3;IGF1;ITGB3;TPX2;TIRAP;TRAF2;CALCA;TLR6,GO_Biological_Process_2023
Activation Of Protein Kinase B Activity (GO:0032148),Activation Of Protein Kinase B Activity (GO:0032148),0.501085803611941,1.42330060597744,0.0504587155963303,0.0889168187212107,0.0504587155963303,,,WNT5A;FGF1;ANG;NTRK3;MTOR;PINK1;PDPK1;PARK7;INS;NTF3;PDGFB;INSR;ADRA2B;NRG1;PPIA;ADRA2C,GO_Biological_Process_2023
Actomyosin Structure Organization (GO:0031032),Actomyosin Structure Organization (GO:0031032),0.238194203864365,0.768154688832291,0.830328738069989,0.868366909727343,0.830328738069989,,,MYO18A;EPB41;EPB41L2;EPB41L5;CUL3;EPB41L1;EPB41L3;SRC;BMP10;FLNC;ARRB1;KLHL41;ACTN2;MYH9;ANKRD1;RHOA;TJP1;MYL9;F11R;MYH10;ROCK2;ITGB1;ROCK1,GO_Biological_Process_2023
Acute Inflammatory Response (GO:0002526),Acute Inflammatory Response (GO:0002526),0.368392236071365,1.00667361896497,0.491822429906542,0.56674762955124,0.491822429906542,,,CTNNBIP1;CNTN1;TNFSF4;INS;CEBPB;IL6R;IL6;IL22,GO_Biological_Process_2023
Acute myeloid leukemia,Acute myeloid leukemia,0.572761711466829,1.91071974986121,1.62590556282082e-06,1.03570837260721e-05,1.62590556282082e-06,,,PER2;EIF4EBP1;LEF1;TCF7;TCF7L1;SPI1;BCL2A1;MYC;RUNX1;RPS6KB2;TCF7L2;CCND1;RPS6KB1;RARA;KIT;IL3;AKT2;CSF2;STAT5B;STAT5A;AKT3;CEBPE;CEBPA;FLT3;STAT3;PML;MTOR;AKT1;CSF1R;MAPK1;PIK3CD;MAPK3;BAD;CCNA2;PIK3CB;BRAF;CCNA1;RELA;GRB2;PIK3CA;PIK3R3;NFKB1;KRAS;ZBTB16;HRAS;NRAS;MAP2K2;PIK3R1;JUP;CHUK;PIK3R2;SOS1;FCGR1A;IKBKG;SOS2;IKBKB;ARAF;RAF1;DUSP6;MAP2K1,GO_Biological_Process_2023
Acylglycerol Biosynthetic Process (GO:0046463),Acylglycerol Biosynthetic Process (GO:0046463),-0.280961371293684,-1.14224246949121,0.276923076923077,0.357657021877205,0.276923076923077,,,MOGAT3;MOGAT2;MOGAT1;GPAT2;DGAT1;GPAT4;GPAT3;PNPLA3;PLA2G15;LPGAT1;DGAT2L6;AWAT2,GO_Biological_Process_2023
Acylglycerol Catabolic Process (GO:0046464),Acylglycerol Catabolic Process (GO:0046464),-0.29110315324785,-1.11269713056346,0.267123287671233,0.347479677083626,0.267123287671233,,,PNPLA5;PNPLA4;PNLIPRP2;FAAH;CPS1,GO_Biological_Process_2023
Acylglycerol Homeostasis (GO:0055090),Acylglycerol Homeostasis (GO:0055090),0.295505660905929,0.839364003540793,0.714449541284404,0.766475502800457,0.714449541284404,,,HNF4A;RORA;ANGPTL4;NR1H3;MLXIPL;LCP1;CETP;APOC4,GO_Biological_Process_2023
Acylglycerol Metabolic Process (GO:0006639),Acylglycerol Metabolic Process (GO:0006639),-0.156786703601108,-0.761353779304038,0.901234567901234,0.922718543459284,0.901234567901234,,,GK3;PNLIPRP2;LIPF;PLAAT3;DGAT1;CAV3;APOC3;LMF1;PNPLA3;PGS1;DGAT2L6;AWAT2;APOA2;APOA5;APOH;APOBR;DGKZ;DGKQ;DGKK;DGKI;DGKH;DGKG;DGKE;DGKD;DGKB;DGKA;ABHD6;GCK;CAV1;APOE;MGLL;PNPLA2;DGAT2;APOC1;CETP;LCP1;SEL1L;LYPLA2,GO_Biological_Process_2023
Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),Adaptive Immune Response Based On Somatic Recombination Of Immune Receptors Built From Immunoglobulin Superfamily Domains (GO:0002460),0.242872518307772,0.641676677049353,0.917365269461078,0.937340158392892,0.917365269461078,,,JAG1;SLA2;STAT3;CD70;EBI3;HLA-DRB1;IL12B;PHB1;IL18BP;TLR4,GO_Biological_Process_2023
Adenine Nucleotide Transport (GO:0051503),Adenine Nucleotide Transport (GO:0051503),-0.648634549286404,-2.26814901507344,0.000404628628608441,0.00134911703275499,0.000404628628608441,,,SLC19A1;SLC25A17;SLC25A42;LRRC8E;LRRC8D;LRRC8C;LRRC8A;SLC35B3;SLC35B2;ABCC5,GO_Biological_Process_2023
Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),Adenylate Cyclase-Activating G Protein-Coupled Receptor Signaling Pathway (GO:0007189),0.397959344726378,1.36479473604393,0.0274949083503055,0.0538008476908681,0.0274949083503055,,,ADGRG6;DRD2;DRD3;RAPGEF2;GPR161;IAPP;ADCY2;ADCY3;ADCY4;ADCY7;ADCY9;ADCY5;ADCY6;ADCY8;ADCY1;GNG2;ADRB2;GNAQ;ADRA2B;MC1R;MC3R;MC4R;MC5R;GNB1;ADRB1;ADRB3;DRD1;DRD5;GNAS;ADGRE1;ADGRE2;ADGRE3;ADGRE5;UCN3;ADM;CALCRL;RAMP2;ADRA2A;ADRA2C;GLP1R;ADRA1B;ADRA1D;ADCYAP1;GCGR;PF4;CALCA;GNA13;TBXA2R;ADM2;CALCB;CALCR;CRHR1;PTH;PTH1R;PTHLH;RAMP1;RAMP3,GO_Biological_Process_2023
Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),Adenylate Cyclase-Inhibiting G Protein-Coupled Receptor Signaling Pathway (GO:0007193),0.524750420683601,1.69489477098251,0.000373694991995101,0.00125923285866434,0.000373694991995101,,,CHRM4;DRD2;DRD3;DRD4;HRH3;HRH4;HTR1A;HTR1B;HTR1D;HTR1E;HTR1F;HTR5A;AKAP5;OPRK1;GABBR1;GABBR2;CHRM3;OPRM1;ADCY4;ADCY7;ADCY5;ADCY6;GRM7;GRM8;CHRM2;GNAI1;GNAI2;GNAI3;CHRM1;CHRM5,GO_Biological_Process_2023
