predictor,beta_primary,se_primary,p_primary,beta_sensitivity,se_sensitivity,p_sensitivity
density,0.0171168521357694,0.00107858867459564,6.79041465699221e-52,0.00550466305149486,0.00115924402307465,2.28135138044991e-06
mean_paralog,0.0077236744519922,0.00104548281978043,2.69223022042129e-13,0.0068894831948812,0.000934927166786154,3.08076790680905e-13
mean_cds_length,-0.00221621222926614,0.00102798849710808,0.0312802216495877,-0.00116835474062889,0.0009199957097618,0.204331944501338
clustering_score,-0.007332399056614,0.00101675122310431,9.45318549031067e-13,-0.00440520256511221,0.000922550166031303,2.00483670379151e-06
mean_pubmed,,,,0.0202236525490061,0.00112303172421383,9.08695727702792e-65
