model,n,r_squared,adj_r_squared,f_statistic,f_p_value
primary,1280,0.226851852398013,0.224426289582006,93.5254493930325,8.52509114556127e-70
sensitivity,1280,0.383722596714096,0.3813039255866,158.650174615266,3.53982895620366e-131
