regime,hi_count,total,pct,odds_ratio,p_value
Decoupled,18,129,13.953488372093,5.51572733142699,4.97132605796447e-08
Topology-Amplified,18,333,5.40540540540541,1.94363725012189,0.0121080225443021
Equilibrium,293,10259,2.85602885271469,1,1
Buffered,1,147,0.680272108843537,0.232970218336528,0.133390783125239
