degree_bin,bin_left,bin_right,n_decoupled,n_equilibrium,median_shet_dec,median_shet_eq,cohens_d,d_ci_lo,d_ci_hi,mannwhitney_p
28-148,1.45,2.17,29,3776,0.171149207735931,0.021899271537129,1.40843310910033,0.821684975812422,2.08694445573743,7.8862215152668e-09
148-794,2.17,2.9,60,2011,0.106546584529203,0.0481827800126254,0.382998975107515,0.141538121729192,0.655121728071588,2.1568481577103e-05
