gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
ZCCHC9,0.00345593680572698,0.236853002070393,1.11948281882681e-05,60,0.917,19
ZCRB1,0.00646753887928906,0.349148561362302,1.18625162932253e-05,106,0.908,16
ZCWPW1,0.000493705257960997,0.0888888888888889,2.9515048966697e-07,10,0.965,6
ZCWPW2,0.000246852628980499,0.1,2.9587553124249e-07,5,1.03,4
ZDBF2,0.00311034312515428,0.163338453661034,8.10832428658957e-06,59,0.46,29
ZDHHC1,0.00123426314490249,0.203333333333333,3.4498160522114e-06,25,1.168,5
ZDHHC11,0.00113552209331029,0.0671936758893281,9.82294102394682e-07,23,1.541,7
ZDHHC11B,4.93705257960997e-05,0,0,1,1.642,1
ZDHHC12,0.00617131572451247,0.044258064516129,4.28499293757391e-05,64,1.049,4
ZDHHC13,0.00271537891878549,0.0835016835016835,2.16101778537691e-05,47,1.222,16
ZDHHC14,0.000345593680572698,0.285714285714286,4.44779597962452e-07,7,0.423,8
ZDHHC15,0.00592446309553197,0.0260504201680672,0.000135245205546881,56,0.425,5
ZDHHC16,0.000493705257960997,0.0444444444444444,8.81182621504429e-07,10,0.68,7
ZDHHC17,0.0140705998518884,0.0146528292562392,0.000830538057641167,85,0.181,25
ZDHHC18,0.00360404838311528,0.0624048706240487,2.17533563262442e-05,55,0.805,9
ZDHHC19,0.00202419155764009,0.0402439024390244,2.16195288270795e-06,39,0.796,2
ZDHHC2,0.000246852628980499,0,2.6506174907223e-08,5,0.69,3
ZDHHC20,0.00187607998025179,0.20199146514936,3.90185314375659e-06,37,0.747,15
ZDHHC21,0.00123426314490249,0.0366666666666667,2.41083724923325e-06,24,0.742,6
ZDHHC22,0.000839298938533695,0.0588235294117647,4.19096302773781e-06,15,1.049,5
ZDHHC23,0.00360404838311528,0.0711567732115677,2.01585656749021e-05,56,1.424,7
ZDHHC24,0.000641816835349297,0.0384615384615385,2.54922150250344e-06,12,1.412,4
ZDHHC3,0.000740557886941496,0.0761904761904762,9.13034556633538e-07,15,0.64,8
ZDHHC4,0.000444334732164898,0.138888888888889,6.47297273446269e-07,9,1.526,5
ZDHHC5,0.00557886941495927,0.219500632111252,1.67365427593406e-05,91,0.088,44
ZDHHC6,0.00271537891878549,0.0249158249158249,3.73594316732627e-05,40,0.779,12
ZDHHC7,0.000888669464329795,0.0784313725490196,4.22515858035406e-06,18,0.788,10
ZDHHC8,0.00153048629967909,0.309677419354839,1.85939408849501e-06,29,0.372,13
