gene,degree_centrality,clustering_coeff,betweenness,kcore,loeuf,pubmed_count
A1BG,0.00167859787706739,0.0463458110516934,6.8661804531023e-06,30,1.208,14
A1CF,0.00157985682547519,0.0766129032258065,5.04855951432655e-06,28,0.88,14
A2M,0.00918291779807455,0.0535309503051439,0.000232435401424447,83,0.544,75
A2ML1,0.00641816835349297,0.0398330351818724,0.00010979839836632,68,0.952,26
A3GALT2,4.93705257960997e-05,0,0,1,1.764,1
A4GALT,0.000740557886941496,0.104761904761905,2.35000476103245e-06,15,1.654,8
A4GNT,0.00241915576400889,0.0518707482993197,1.55396671812349e-05,41,0.739,3
AAAS,0.00804739570476426,0.176475043550708,3.73966704603783e-05,119,0.988,76
AACS,0.00123426314490249,0.206666666666667,4.54923587444355e-06,23,1.088,9
AADAC,9.87410515921995e-05,0,6.13322484333228e-09,2,0.944,2
AADAT,0.00108615156751419,0.588744588744589,2.21568316310493e-06,21,0.508,5
AAED1,0.000148111577388299,0,6.08206488644172e-09,3,1.801,5
AAGAB,0.00162922735127129,0.15719696969697,6.44352441952716e-06,31,1.037,19
AAK1,0.00543075783757097,0.252543786488741,1.5631431402494e-05,88,0.129,47
AAMDC,0.00182670945445569,0.193693693693694,7.27431476787509e-06,33,1.838,18
AAMP,0.00360404838311528,0.176179604261796,2.03603863431522e-05,62,0.411,50
AANAT,0.000444334732164898,0.0833333333333333,6.42709086985426e-07,9,1.227,5
AAR2,0.0325351764996297,0.135020824589158,0.00022659153323419,147,1.348,53
AARD,0.000740557886941496,0.114285714285714,3.61285978269971e-07,15,1.103,1
AARS,0.00799802517896816,0.235334713595583,3.88789085978621e-05,123,0.617,94
AARS2,0.0159960503579363,0.226044413866911,0.000119232243559699,127,0.835,50
AARSD1,0.00587509256973587,0.109101267625694,4.74978420581252e-05,78,1.108,22
AASDH,0.000592446309553197,0.136363636363636,3.66787387498656e-07,12,0.828,8
AASDHPPT,0.00409775364107628,0.170143990596532,2.4355501611851e-05,68,0.717,47
AASS,0.00390027153789188,0.302174618630315,1.43131018161736e-05,71,0.809,37
AATF,0.0161441619353246,0.231496594810604,5.4319009622628e-05,147,1.065,94
AATK,0.00947914095285115,0.0506108202443281,4.39076198013478e-05,103,0.403,11
ABAT,0.00355467785731918,0.150234741784038,2.37547810391719e-05,52,0.567,15
ABCA1,0.00162922735127129,0.142045454545455,3.17018653619506e-06,31,0.486,25
ABCA10,0.000394964206368798,0.178571428571429,2.51110684660259e-06,8,0.968,5
ABCA12,0.000543075783757097,0.290909090909091,5.00815212291094e-08,11,0.478,7
ABCA13,0.000789928412737596,0.191666666666667,7.49469642245453e-07,16,1.035,12
ABCA17P,4.93705257960997e-05,0,0,1,,1
ABCA2,0.00562823994075537,0.0624126688402422,0.000105758961136356,66,0.169,19
ABCA3,0.00330782522833868,0.0303030303030303,1.27384797368792e-05,50,0.501,11
ABCA4,0.000246852628980499,0.3,7.8550546185804e-07,4,0.91,5
ABCA5,0.000592446309553197,0.0909090909090909,8.89570143198738e-07,12,0.838,9
ABCA6,0.000444334732164898,0.0277777777777778,4.21613240780876e-07,8,0.864,2
ABCA7,0.000987410515921995,0.0473684210526316,3.03832255547541e-06,20,1.067,8
ABCA8,0.000493705257960997,0.0222222222222222,7.81511643913134e-07,9,1.186,5
ABCA9,0.000444334732164898,0.111111111111111,6.91027395698474e-07,8,1.07,4
ABCB1,0.00469019995062947,0.0555431131019037,3.82280530096301e-05,60,0.473,34
ABCB10,0.00404838311528018,0.0858175248419151,2.77946616328285e-05,58,0.937,34
ABCB11,0.000394964206368798,0.0714285714285714,6.12783953851094e-07,8,0.638,7
ABCB4,0.000296223154776598,0.0666666666666667,2.26093018376426e-06,5,0.508,3
ABCB5,0.000789928412737596,0.241666666666667,8.52494440719905e-07,15,1.127,7
ABCB6,0.00439397679585288,0.0661389172625128,4.45628921018914e-05,62,0.977,21
ABCB7,0.00701061466304616,0.200479472580162,2.92527140190045e-05,111,0.109,60
ABCB8,0.00301160207356208,0.0333333333333333,1.19597972841359e-05,51,1.081,10
ABCB9,0.00172796840286349,0.0336134453781513,1.05373249205755e-05,28,0.653,7
ABCC1,0.00720809676623056,0.195087387812943,2.22037769384114e-05,112,0.397,48
ABCC10,0.00182670945445569,0.0195195195195195,7.67232394102938e-06,34,0.941,10
ABCC11,0.000246852628980499,0.2,2.2854938530053e-07,5,1.236,6
ABCC12,0.000592446309553197,0.106060606060606,4.31871505093108e-07,10,1.274,7
ABCC13,4.93705257960997e-05,0,0,1,,1
ABCC2,0.00365341890891138,0.0810810810810811,1.60976702244404e-05,63,1.158,15
ABCC3,0.00108615156751419,0.333333333333333,4.83969835812606e-07,22,0.896,14
ABCC4,0.00306097259935818,0.0930724484399788,4.84370374830576e-05,48,0.492,24
ABCC5,0.00251789681560109,0.166274509803922,8.33653207499619e-06,49,0.387,19
ABCC6,0.00256726734139719,0.0693815987933635,1.75972304580327e-06,47,1.026,3
ABCC8,0.000493705257960997,0.111111111111111,2.59141304869193e-06,9,0.765,9
ABCC9,0.000246852628980499,0.1,8.41899023923849e-08,5,0.482,5
ABCD1,0.00375215996050358,0.134385964912281,1.92890034698956e-05,67,0.15,34
ABCD2,0.000148111577388299,0.666666666666667,1.62857830615896e-09,3,0.718,4
ABCD3,0.0134287830165391,0.143830041241589,0.00010705698668448,131,0.435,143
ABCD4,0.00207356208343619,0.0650406504065041,8.067614269522e-06,34,0.898,8
ABCE1,0.0198469513700321,0.145742608652498,0.000158290354034397,145,0.314,108
ABCF1,0.0105652925203653,0.239743758501163,0.000153371762210139,138,0.612,138
ABCF2,0.00992347568501605,0.244477611940299,2.31298211620867e-05,136,0.478,135
ABCF3,0.00597383362132807,0.130716253443526,5.57952372962087e-05,81,0.573,54
ABCG1,0.000543075783757097,0.181818181818182,3.24893300866558e-07,11,0.461,9
ABCG2,0.00227104418662059,0.178743961352657,7.62439847164657e-06,39,1.549,11
ABCG4,0.000345593680572698,0.0476190476190476,4.23112793401372e-07,7,0.819,3
ABCG5,9.87410515921995e-05,0,3.05998671666622e-08,2,1.385,2
ABCG8,0.000789928412737596,0.0333333333333333,2.37904754604959e-06,14,1.365,7
ABHD1,4.93705257960997e-05,0,0,1,1.913,1
ABHD10,0.00473957047642557,0.169956140350877,1.71688054022543e-05,76,1.061,39
ABHD11,0.00315971365095038,0.0823412698412698,1.71777529467611e-05,51,0.941,12
ABHD12,0.00533201678597877,0.116822429906542,4.10147577173186e-05,76,0.763,45
ABHD12B,0.000197482103184399,0.333333333333333,2.79253845240838e-08,4,1.582,6
ABHD13,0.000197482103184399,0.166666666666667,2.24758923248252e-08,4,0.406,2
ABHD14A,0.00311034312515428,0.0445468509984639,1.07928233242182e-05,51,1.395,6
ABHD14A-ACY1,0.000197482103184399,0.5,1.93745882863504e-08,4,1.049,4
ABHD14B,0.00172796840286349,0.18655462184874,2.01683989933891e-06,34,1.695,26
ABHD15,0.00162922735127129,0.153409090909091,3.09435994149688e-06,32,1.489,5
ABHD15-AS1,4.93705257960997e-05,0,0,1,,1
ABHD16A,0.00439397679585288,0.0669050051072523,5.55808406755944e-05,54,0.384,16
ABHD16B,0.000197482103184399,0.5,2.54925831153567e-08,4,1.19,2
ABHD17A,0.00177733892865959,0.0634920634920635,1.18953845319973e-05,33,0.803,7
ABHD17B,0.00286349049617378,0.0139140955837871,1.43430188593016e-05,44,0.65,5
ABHD17C,0.000394964206368798,0.142857142857143,1.87578077601939e-07,8,0.302,5
ABHD2,0.000197482103184399,0,6.31478153465407e-07,4,0.431,4
ABHD3,0.00118489261910639,0.0108695652173913,2.66698863575645e-06,24,1.181,6
ABHD4,0.000740557886941496,0.0666666666666667,5.50544088478926e-07,15,1.073,3
ABHD5,0.00172796840286349,0.0571428571428571,9.47060659715427e-06,30,0.982,13
ABHD6,0.00118489261910639,0.0289855072463768,7.15712988619274e-06,24,0.984,8
ABHD8,0.000493705257960997,0.0666666666666667,2.25730277395898e-06,9,0.31,6
ABI1,0.0103184398913848,0.139492086860508,7.12872891054083e-05,115,0.418,69
ABI2,0.0141199703776845,0.0722610722610723,0.000320545404941169,103,0.46,47
ABI3,0.00380153048629968,0.0659603554340397,1.77182602001755e-05,56,1.04,12
ABI3BP,0.000641816835349297,0.128205128205128,4.45421857086921e-07,13,0.558,10
ABL1,0.010910886200938,0.132579185520362,0.000115920812332434,115,0.176,223
ABL2,0.00513453468279437,0.204070201643017,1.70354548027924e-05,83,0.58,61
ABLIM1,0.00834361885954085,0.174485770639617,8.96463412053994e-05,111,0.326,89
ABLIM2,0.000789928412737596,0.125,1.32768375738831e-06,15,0.465,11
ABLIM3,0.00172796840286349,0.0857142857142857,4.1260536937337e-06,33,0.59,13
ABO,0.000148111577388299,0,4.39524571833771e-08,3,,2
ABR,0.00192545050604789,0.238866396761134,2.27790420685508e-06,39,0.361,30
ABRA,0.00177733892865959,0.226984126984127,1.42306388313376e-06,33,1.172,5
ABRACL,0.000345593680572698,0.19047619047619,1.42653149679557e-07,7,1.371,4
ABT1,0.0191063934830906,0.191870506486725,9.79490886768275e-05,139,1.015,46
ABTB1,0.000789928412737596,0.141666666666667,1.05002053310845e-06,16,0.756,16
ABTB2,0.00483831152801777,0.0608037029244688,3.89309146955985e-05,65,0.464,17
ACAA1,0.00360404838311528,0.124809741248097,1.34742176963202e-05,61,1.118,28
ACAA2,0.00873858306590965,0.115562403697997,7.34136143264315e-05,101,1.306,55
ACACA,0.0150580103678104,0.164085418464193,0.000157095535863926,139,0.216,156
ACACB,0.00666502098247346,0.0809286898839138,9.27947068110134e-05,85,0.857,48
ACAD10,0.00493705257960997,0.0444444444444444,3.65098756135519e-05,63,1.085,15
ACAD11,0.00854110096272525,0.0923511224626966,0.00017729649422592,86,0.883,54
ACAD8,0.00172796840286349,0.0470588235294118,1.54785570059065e-05,28,1.27,15
ACAD9,0.0213280671439151,0.198612185271118,0.000175738883622771,127,0.814,65
ACADL,0.000740557886941496,0.0285714285714286,2.49023578058845e-06,14,1.162,6
ACADM,0.00715872624043446,0.226053639846743,1.78303868845808e-05,112,1.153,54
ACADS,0.00118489261910639,0.0905797101449275,4.87026615563772e-06,22,0.95,11
ACADSB,0.00370278943470748,0.147027027027027,1.69081350271232e-05,61,1.172,50
ACADVL,0.00631942730190077,0.148622047244095,8.69219573638136e-05,91,1.05,68
ACAN,0.000345593680572698,0,1.62902986600156e-06,7,0.183,6
ACAP1,0.000888669464329795,0.150326797385621,6.21907324406738e-07,18,0.423,13
ACAP2,0.00236978523821279,0.211879432624113,2.83800648742234e-06,46,0.324,35
ACAP3,0.000938039990125895,0.309941520467836,7.22426195561004e-07,19,0.586,8
ACAT1,0.010910886200938,0.211394487865076,7.35856434818816e-05,127,1.051,98
ACAT2,0.00320908417674648,0.21875,7.37505324832937e-06,57,1.143,34
ACBD3,0.0135768945939274,0.155806237558062,9.36474599356719e-05,127,0.539,80
ACBD4,0.000691187361145396,0.10989010989011,6.87166522310624e-07,14,0.926,10
ACBD5,0.0103184398913848,0.157894736842105,6.13435852661506e-05,118,0.529,35
ACBD6,0.000987410515921995,0.0368421052631579,2.41612416380468e-06,19,1.129,9
ACBD7,0.000641816835349297,0.0641025641025641,3.27631137078874e-07,13,1.19,3
ACCS,0.000493705257960997,0.155555555555556,3.77742728601237e-07,10,0.839,8
ACD,0.00390027153789188,0.143135345666991,3.08878871580217e-05,59,1.187,26
ACE,0.00103678104171809,0.152380952380952,1.86854083521881e-06,20,1.081,15
ACE2,0.0549000246852629,0.0697424058952658,0.00178573795024143,147,0.25,74
ACER1,0.000148111577388299,0,8.62574403021232e-09,3,1.002,3
ACER2,9.87410515921995e-05,0,9.59443430571166e-09,2,0.695,2
ACER3,0.000444334732164898,0.111111111111111,2.10544023168116e-07,9,0.388,4
ACF,4.93705257960997e-05,0,0,1,,1
ACHE,0.000148111577388299,0,3.87833395905947e-07,3,0.207,3
ACIN1,0.0147617872130338,0.23323831114902,6.62559393541677e-05,146,0.201,157
ACKR1,0.000148111577388299,0,3.83524853941127e-08,3,,2
ACKR2,0.00394964206368798,0.0715189873417722,3.4903257953897e-05,58,1.47,7
ACKR3,0.000938039990125895,0.251461988304094,1.67620475591226e-06,18,0.682,12
ACKR4,0.000345593680572698,0,1.0889397425852e-06,7,1.803,3
ACLY,0.0166872377190817,0.22999666391586,0.000122229283623661,147,0.377,181
ACMSD,0.000246852628980499,0.1,5.77381136266107e-08,5,1.116,6
ACN9,0.00162922735127129,0.539772727272727,1.14885249622252e-06,31,1.722,9
ACO1,0.00222167366082449,0.207070707070707,1.93266520375009e-05,38,0.932,31
ACO2,0.011404591458899,0.203613777526821,7.30115382542867e-05,130,0.417,74
ACOT1,0.00612194519871637,0.297665879884605,2.58204053372933e-05,102,1.528,28
ACOT11,0.000888669464329795,0.065359477124183,3.13668755005273e-06,16,1.082,5
ACOT12,0.000691187361145396,0.054945054945055,1.0297429345038e-06,14,1.087,3
ACOT13,0.00246852628980499,0.168163265306122,6.67299944827829e-06,46,1.936,24
ACOT2,0.00543075783757097,0.293077564637198,9.31021724959661e-06,96,1.327,19
ACOT4,0.000148111577388299,0,1.33032459524412e-08,3,1.655,2
ACOT6,0.000296223154776598,0,1.2535394320275e-07,6,1.631,2
ACOT7,0.00844235991113306,0.163880288957688,9.56750512440757e-05,107,0.434,61
ACOT8,0.00281411997037768,0.12719298245614,9.1875478015408e-06,53,1.001,45
ACOT9,0.00819550728215256,0.144432274552756,8.52856446772763e-05,106,1.18,80
ACOX1,0.00528264626018267,0.0908129077764063,3.73736333705998e-05,67,0.462,32
ACOX2,0.000246852628980499,0.1,3.15669028861345e-08,5,0.87,5
ACOX3,0.00197482103184399,0.0807692307692308,7.39700649964002e-06,38,1.063,13
ACOXL,9.87410515921995e-05,0,2.43853173908869e-09,2,1.097,2
ACP1,0.00478894100222167,0.157001718213058,6.94133577258967e-05,77,1.802,66
ACP2,0.00459145889903728,0.0642823749415615,5.97770695956319e-05,60,0.753,19
ACP5,0.00148111577388299,0.0919540229885057,3.29782653974067e-06,28,0.724,8
ACP6,0.00167859787706739,0.131907308377897,3.33890164609645e-06,31,1.387,10
ACPP,0.00686250308565786,0.0542174955687624,6.67541314644905e-05,80,1.403,13
ACPT,4.93705257960997e-05,0,0,1,1.513,1
ACR,0.000246852628980499,0.1,7.57621314358086e-08,5,0.88,4
ACRBP,0.000987410515921995,0.0263157894736842,5.92764667199671e-07,20,0.934,2
ACRC,0.000296223154776598,0.133333333333333,4.60667414481342e-08,6,0.268,4
ACRV1,0.000148111577388299,0,1.05628443844422e-07,3,1.427,3
ACSBG1,0.000296223154776598,0.2,1.23390848801558e-06,6,0.605,5
ACSBG2,0.000394964206368798,0.0357142857142857,5.70331790371548e-07,8,0.916,7
ACSF2,0.00473957047642557,0.0953947368421053,4.61791589907178e-05,62,0.654,20
ACSF3,0.00291286102196988,0.17416715371128,1.31334634401015e-05,48,1.772,21
ACSL1,0.00409775364107628,0.0843373493975904,4.23055105235435e-05,64,0.476,38
ACSL3,0.0128363367069859,0.185625185625186,0.000132513901426697,130,0.55,128
ACSL4,0.00789928412737596,0.118474842767296,9.49407787450294e-05,96,0.306,77
ACSL5,0.00153048629967909,0.0516129032258065,2.48674214684515e-06,30,0.727,14
ACSL6,0.000394964206368798,0.0357142857142857,8.00867384605075e-07,8,0.475,5
ACSM1,0.000444334732164898,0.0555555555555556,5.36061151701303e-07,9,1.074,3
ACSM2A,9.87410515921995e-05,0,1.02527152782692e-07,2,1.364,2
ACSM2B,0.000148111577388299,0,6.8447267215437e-07,2,1.42,2
ACSM3,0.000789928412737596,0.141666666666667,7.55828336911552e-07,16,1.055,9
ACSM4,4.93705257960997e-05,0,0,1,1.236,1
ACSM5,0.00266600839298939,0.106918238993711,2.98001300563561e-06,46,1.258,4
ACSS1,0.00113552209331029,0.367588932806324,7.74106534710427e-07,23,0.759,17
ACSS2,0.000740557886941496,0.457142857142857,2.50149335051688e-07,15,0.903,12
ACSS3,0.000493705257960997,0.266666666666667,3.51568610938656e-06,9,0.951,8
ACT,4.93705257960997e-05,0,0,1,,1
ACTA1,0.014366823006665,0.10024884464984,0.000269739429061562,130,1.223,171
ACTA2,0.0171315724512466,0.0591527710682814,0.00119313367125913,121,0.364,78
ACTA2-AS1,4.93705257960997e-05,0,0,1,,1
ACTB,0.0489261910639348,0.0854192785575228,0.00220879832425704,147,0.232,387
ACTBL2,0.0148111577388299,0.079933110367893,0.000462720366016142,127,1.946,118
ACTC1,0.0335225870155517,0.109657182825689,0.000700346538557099,147,0.48,112
ACTG1,0.023747222907924,0.120469507969508,0.000343635920498709,146,0.858,206
ACTG1P14,4.93705257960997e-05,0,0,1,,1
ACTG2,0.00340656627993088,0.191815856777494,9.22026494944564e-06,58,0.628,36
ACTL6A,0.0129844482843742,0.222883348329608,7.13628723752118e-05,136,0.246,168
ACTL6B,0.00390027153789188,0.100616682895164,3.9140715971367e-05,58,0.645,16
ACTL7A,0.000197482103184399,0.5,3.92972891798072e-08,4,1.333,4
ACTL7B,9.87410515921995e-05,0,4.7169875227422e-09,2,1.571,2
ACTL8,0.000888669464329795,0.248366013071895,2.99100664904059e-07,18,1.123,9
ACTL9,9.87410515921995e-05,1,0,2,1.137,2
ACTN1,0.015847938780548,0.141919781931464,0.000186965221748575,139,0.213,208
ACTN2,0.00696124413725006,0.0629179331306991,0.000107632617454244,79,0.239,62
ACTN3,0.00488768205381387,0.0496804782519068,6.82964480224721e-05,60,,21
ACTN4,0.0190570229572945,0.170755669201265,0.000202759639494271,146,0.099,220
ACTR10,0.00434460627005678,0.186781609195402,3.79788550401226e-05,67,0.658,37
ACTR1A,0.013379412490743,0.218395517288506,6.81302624604495e-05,140,0.327,121
ACTR1B,0.00572698099234757,0.224287856071964,4.62822628886379e-05,85,0.684,53
ACTR2,0.0159466798321402,0.179393496529046,0.000129524536398919,140,0.195,139
ACTR3,0.0152061219451987,0.159355302677778,0.000105536798990771,135,0.118,155
ACTR3B,0.00306097259935818,0.185087255420413,4.74239328380194e-05,56,0.192,20
ACTR3C,0.000444334732164898,0.0833333333333333,1.0582805594711e-06,9,1.374,6
ACTR5,0.00335719575413478,0.180421422300263,7.79927037992814e-06,58,1.006,35
ACTR6,0.00241915576400889,0.227891156462585,5.05224927062539e-06,46,1.083,23
ACTR8,0.00261663786719329,0.243831640058055,5.1852098827171e-06,48,0.988,34
ACTRT1,0.000789928412737596,0.391666666666667,1.92745393736944e-07,16,1.611,4
ACTRT2,0.000493705257960997,0.466666666666667,8.85883550358349e-08,10,1.377,2
ACTRT3,4.93705257960997e-05,0,0,1,1.71,1
ACVR1,0.00286349049617378,0.156079854809437,2.21258440283194e-05,46,0.454,36
ACVR1B,0.00478894100222167,0.0560567010309278,7.39796541393778e-05,60,0.172,40
ACVR1C,0.000592446309553197,0.0454545454545455,8.66763639665829e-07,11,0.634,3
ACVR2A,0.00464082942483337,0.0594829558453443,5.5063543514557e-05,53,0.17,38
ACVR2B,0.00518390520859047,0.073992673992674,7.31724612188816e-05,62,0.377,32
ACVRL1,0.00177733892865959,0.0888888888888889,1.20400550665265e-05,30,0.692,20
ACY1,0.00236978523821279,0.074468085106383,1.16304391510059e-05,42,1.063,18
ACY3,0.00128363367069859,0.0676923076923077,5.57016540741947e-06,23,1.426,9
ACYP1,0.000345593680572698,0.428571428571429,2.05735495269354e-07,7,1.486,7
ACYP2,0.000543075783757097,0.218181818181818,7.92978451210465e-07,11,1.836,7
ADA,0.00177733892865959,0.184126984126984,8.91448737362954e-06,30,1.321,18
ADAD2,0.000394964206368798,0.25,2.52167732338966e-07,8,1.144,2
ADAL,0.000296223154776598,0,2.52263489699699e-07,6,1.174,4
ADAM10,0.00449271784744508,0.103052503052503,5.82193066896834e-05,62,0.117,36
ADAM11,0.00143174524808689,0.0123152709359606,4.35373118500902e-06,25,0.531,8
ADAM12,0.00212293260923229,0.232558139534884,6.11999158848706e-06,41,0.594,14
ADAM15,0.00350530733152308,0.075251509054326,1.77583971381341e-05,60,0.864,27
ADAM17,0.00281411997037768,0.102130325814536,2.47861006520675e-05,50,0.28,34
ADAM18,0.000740557886941496,0.019047619047619,5.16182588448853e-07,14,1.569,1
ADAM19,0.00167859787706739,0.0303030303030303,6.47013720065421e-06,30,0.501,6
ADAM1A,4.93705257960997e-05,0,0,1,,1
ADAM2,0.000394964206368798,0,4.31697079796084e-07,8,1.176,4
ADAM20,4.93705257960997e-05,0,0,1,,1
ADAM20P1,4.93705257960997e-05,0,0,1,,1
ADAM21,0.00306097259935818,0.0671602326811211,1.62122844622196e-05,47,1.43,3
ADAM22,0.00128363367069859,0.16,5.93685486411406e-06,25,0.363,17
ADAM23,0.000444334732164898,0.361111111111111,1.0927511916093e-06,9,0.275,8
ADAM28,0.000246852628980499,0.3,6.30734314925679e-08,5,1.162,3
ADAM29,4.93705257960997e-05,0,0,1,,1
ADAM30,0.00266600839298939,0.0489168413696716,7.14969067133084e-06,44,,4
ADAM32,0.00123426314490249,0.01,2.34533969233212e-06,23,0.922,3
ADAM33,0.00380153048629968,0.0276828434723172,2.84157224335258e-05,51,0.922,7
ADAM5,9.87410515921995e-05,1,0,2,,2
ADAM7,0.00172796840286349,0.0352941176470588,1.82669347570182e-06,35,1.031,3
ADAM8,0.000197482103184399,0,2.54568504838005e-08,4,0.926,4
ADAM9,0.00567761046655147,0.0660564454614798,8.05529954857027e-05,66,0.417,37
ADAMDEC1,4.93705257960997e-05,0,0,1,1.288,1
ADAMTS1,0.00478894100222167,0.0644329896907217,7.4874371284738e-05,63,0.367,26
ADAMTS10,0.000543075783757097,0.0727272727272727,4.82864601373264e-07,11,0.33,4
ADAMTS12,0.00256726734139719,0.0565610859728507,1.38349830213791e-05,43,0.688,9
ADAMTS13,0.00118489261910639,0.072463768115942,1.79177883199273e-06,21,0.683,1
ADAMTS14,0.000197482103184399,0.166666666666667,2.289950200876e-08,4,0.709,2
ADAMTS15,0.000444334732164898,0.138888888888889,5.6233629533154e-07,9,0.719,6
ADAMTS16,0.000246852628980499,0,2.75984088464805e-08,5,0.431,3
ADAMTS17,0.000987410515921995,0.068421052631579,3.77138313130596e-06,19,0.732,4
ADAMTS18,0.000345593680572698,0.19047619047619,3.35304044117596e-07,7,0.928,4
ADAMTS19,0.000148111577388299,0.333333333333333,2.27794710698228e-08,3,0.537,3
ADAMTS2,0.00256726734139719,0.0218702865761689,1.46515372862446e-05,41,0.311,6
ADAMTS20,0.000197482103184399,0,8.84824063832394e-08,4,0.834,4
ADAMTS3,0.000592446309553197,0.378787878787879,3.69641599947831e-07,12,0.604,5
ADAMTS4,0.00301160207356208,0.0655737704918033,1.36214355016984e-05,48,0.71,7
ADAMTS5,0.000197482103184399,0.333333333333333,1.01954989380851e-07,4,0.703,3
ADAMTS6,0.000493705257960997,0.111111111111111,5.65839819459178e-07,10,0.22,10
ADAMTS7,0.00271537891878549,0.0121212121212121,8.60708604784717e-06,43,0.646,3
ADAMTS8,9.87410515921995e-05,1,0,2,0.909,2
ADAMTS9,0.000246852628980499,0.2,6.69564111977547e-08,5,0.39,5
ADAMTS9-AS2,4.93705257960997e-05,0,0,1,,1
ADAMTSL1,0.000592446309553197,0.242424242424242,3.89056772173196e-07,12,0.531,7
ADAMTSL2,9.87410515921995e-05,1,0,2,0.735,2
ADAMTSL3,0.000740557886941496,0.238095238095238,3.692485380395e-07,15,0.647,3
ADAMTSL4,0.0106146630461614,0.0998043903499239,0.000217061321875385,71,1.093,15
ADAMTSL5,0.000394964206368798,0.392857142857143,2.72113556163279e-07,8,1.151,4
ADAP1,0.00103678104171809,0.0666666666666667,1.26724248454236e-06,21,0.439,13
ADAP2,0.000691187361145396,0.318681318681319,8.75698098699234e-07,14,1.078,14
ADAR,0.0143174524808689,0.264741677604105,6.44636849631712e-05,147,0.42,157
ADARB1,0.0241421871142928,0.132572328941634,0.000204056043470452,147,0.399,23
ADARB2,0.000789928412737596,0.158333333333333,5.34302292679676e-07,16,0.382,9
ADARB2-AS1,9.87410515921995e-05,0,1.27222883477025e-08,2,,2
ADAT1,0.000493705257960997,0.288888888888889,2.96426325579343e-07,10,1.187,9
ADAT2,0.000493705257960997,0.0888888888888889,1.07280821395801e-06,10,1.57,9
ADAT3,0.00113552209331029,0.0276679841897233,2.84632924054306e-06,21,1.459,7
ADCK1,0.00375215996050358,0.0807017543859649,1.44837477002418e-05,60,1.283,14
ADCK2,0.00434460627005678,0.114942528735632,1.70683727623573e-05,66,0.92,13
ADCK3,0.0112071093557146,0.135745195119099,0.000115573895149372,125,1.007,56
ADCK4,0.00572698099234757,0.0970014992503748,3.37939985309047e-05,78,1.108,26
ADCK5,0.000789928412737596,0.125,9.48997145897392e-07,16,0.588,9
ADCY1,0.000197482103184399,0,1.15078361386459e-07,4,0.272,4
ADCY10,0.000197482103184399,0.166666666666667,4.50264466415797e-08,4,1.034,5
ADCY2,0.000592446309553197,0.0151515151515152,8.22356786955937e-07,11,0.261,8
ADCY3,0.00394964206368798,0.0496835443037975,4.54528475582973e-05,51,0.681,14
ADCY4,0.000345593680572698,0.0476190476190476,1.08913114057278e-07,7,0.892,4
ADCY5,0.000394964206368798,0.0357142857142857,2.2375906855398e-07,8,0.254,7
ADCY6,0.00291286102196988,0.0672121566335476,2.5458563162575e-05,48,0.442,21
ADCY7,0.00118489261910639,0.181159420289855,1.31150634805574e-06,24,0.552,7
ADCY8,0.000691187361145396,0.032967032967033,7.4447837412569e-07,14,0.535,4
ADCY9,0.00784991360157986,0.191465647639519,5.17403711301352e-05,104,0.306,25
ADCYAP1,0.00143174524808689,0.0443349753694581,6.68296645720489e-06,25,0.752,6
ADCYAP1R1,9.87410515921995e-05,0,7.92261891849954e-09,2,0.866,2
ADD1,0.00804739570476426,0.188744982201015,4.20371063778785e-05,113,0.296,84
ADD2,0.00404838311528018,0.190304125263475,3.18748676745932e-05,65,0.274,36
ADD3,0.00710935571463836,0.160159285159285,6.13530960210468e-05,106,0.246,67
ADGB,0.000543075783757097,0.327272727272727,3.26688670571397e-08,11,0.78,6
ADH1A,0.000246852628980499,0.1,7.51115780453972e-08,5,1.604,3
ADH1B,0.000543075783757097,0.181818181818182,1.84134709473964e-06,10,1.241,7
ADH1C,0.000839298938533695,0.0882352941176471,8.25914232320339e-07,15,,4
ADH4,0.000246852628980499,0.4,7.45763963363453e-09,5,1.27,5
ADH5,0.00286349049617378,0.255898366606171,9.24847114230493e-06,51,1.562,31
ADH6,0.000543075783757097,0.218181818181818,2.88785814106554e-07,11,1.173,4
ADH7,0.000444334732164898,0.194444444444444,3.91906956011437e-07,9,1.617,7
ADHFE1,0.000148111577388299,0,3.71091576861875e-07,3,1.045,2
ADI1,0.00202419155764009,0.159756097560976,4.76867860978566e-06,37,1.687,14
ADIPOQ,0.00483831152801777,0.0229328844940038,5.18021682607994e-05,55,1.906,7
ADIPOR1,0.00241915576400889,0.0637755102040816,1.2776488525809e-05,42,0.469,17
ADIPOR2,0.00602320414712417,0.0769543422300501,5.06607226673289e-05,89,0.518,11
ADIRF,0.000543075783757097,0.0727272727272727,4.26529639643445e-07,11,1.791,6
ADK,0.00202419155764009,0.207317073170732,4.24555725561147e-06,37,0.798,19
ADM,0.000296223154776598,0.133333333333333,4.20028172654559e-06,6,1.162,6
ADM2,9.87410515921995e-05,0,4.22741044841389e-09,2,1.483,2
ADM5,4.93705257960997e-05,0,0,1,1.716,1
ADNP,0.010417180942977,0.202392236515459,5.055236428822e-05,123,0.123,104
ADNP2,0.00276474944458158,0.262987012987013,7.51775428212583e-06,51,0.392,28
ADO,0.000888669464329795,0.065359477124183,9.29574561279038e-06,16,0.81,10
ADORA1,0.000789928412737596,0.05,1.74176858069689e-06,15,1.1,11
