pathway,reactome_id,n_genes,density,mean_loeuf,loeuf_variance,insularity,super_pathway,mean_paralog,mean_cds_length,clustering_score,mean_pubmed,regime,residual,mean_tau,mean_pli,complex_fraction
Tat-mediated elongation of the HIV-1 transcript,R-HSA-167246,44,0.394062078272605,0.819820512820513,0.253150045883941,0.0715335619794219,Other,2.62790697674419,1442.58139534884,0.00134952766531714,92.3333333333333,Equilibrium,0.00111733677866413,0.264933774195382,0.268590946511344,0.840909090909091
Transport of the SLBP independent Mature mRNA,R-HSA-159227,35,0.464015151515152,0.453151515151515,0.0687798200757576,0.0545353366722315,Other,1.42857142857143,2953.28571428571,0,108.333333333333,Equilibrium,0.000973303780971647,0.324949461448396,0.472748273860406,0.457142857142857
Amino acids regulate mTORC1,R-HSA-9639288,55,0.210196078431373,0.707392156862745,0.161927683137255,0.0960057316854738,Signal Transduction,2.30909090909091,1667.44444444444,0.00235294117647059,43.1372549019608,Equilibrium,0.000940284570289558,0.314109308336164,0.344752952972668,0.127272727272727
CDC42 GTPase cycle,R-HSA-9013148,155,0.0357757137942897,0.559359477124183,0.132601731768146,0.0397667527005066,Signal Transduction,9.72903225806452,2926.47096774194,0.00154798761609907,47.6862745098039,Equilibrium,0.000933602304136129,0.433435150770392,0.401542853762078,0.193548387096774
Metabolism of steroids,R-HSA-8957322,154,0.018592417921277,0.858986666666667,0.258075409217002,0.0267170598201486,Metabolism,7.31818181818182,1982.06493506494,0.00205816554809843,48.0268456375839,Equilibrium,0.000893026861653422,0.507538786915464,0.255836826284778,0.123376623376623
G alpha (s) signalling events,R-HSA-418555,158,0.0217667331761291,1.03067549668874,0.316231407328918,0.043470385799674,Signal Transduction,13.7658227848101,1363.91082802548,0.00386996904024768,25.7315436241611,Equilibrium,0.000834663724080589,0.668483980096798,0.249538525377898,0.177215189873418
RNA Polymerase I Promoter Clearance,R-HSA-73854,79,0.243293246993525,0.741595744680851,0.264749854764107,0.0409689228133032,Other,12.1153846153846,1275.80769230769,0.00277520814061055,130.042553191489,Equilibrium,0.000760519326558085,0.265762584389802,0.378811426277027,0.518987341772152
RNA Polymerase I Transcription,R-HSA-73864,81,0.243293246993525,0.741595744680851,0.264749854764107,0.0409689228133032,Other,12,1274.46835443038,0.00277520814061055,130.042553191489,Equilibrium,0.000760519326558085,0.265762584389802,0.378811426277027,0.506172839506173
Scavenging by Class A Receptors,R-HSA-3000480,19,0.0584795321637427,0.805894736842105,0.363768099415205,0.00786782061369001,Transport & Vesicles,11.6842105263158,2806.10526315789,0.00584795321637427,52.5789473684211,Equilibrium,0.000738495962999155,0.542295284002505,0.366431816245999,0.263157894736842
Centrosome maturation,R-HSA-380287,81,0.205777345017851,0.703641025641026,0.180357557775558,0.058760832290653,Cell Cycle & DNA,6.1358024691358,2846.0625,0.002997002997003,96.6329113924051,Equilibrium,0.000727248325544991,0.348883794911932,0.309711017001267,0.259259259259259
Recruitment of mitotic centrosome proteins and complexes,R-HSA-380270,81,0.205777345017851,0.703641025641026,0.180357557775558,0.058760832290653,Cell Cycle & DNA,6.1358024691358,2846.0625,0.002997002997003,96.6329113924051,Equilibrium,0.000727248325544991,0.348883794911932,0.309711017001267,0.259259259259259
FCERI mediated MAPK activation,R-HSA-2871796,111,0.0354938271604938,0.55078125,0.140733789314516,0.0234430741004994,Immune System,65.7962962962963,744.849056603774,0,52.283950617284,Equilibrium,0.000636628199615093,0.723343563764432,0.485314475568903,0.189189189189189
TP53 Regulates Transcription of Cell Death Genes,R-HSA-5633008,44,0.0564784053156146,0.932476190476191,0.275001279907085,0.0145860145860146,Other,7.88636363636364,1644.75,0.00696864111498258,91.8604651162791,Equilibrium,0.000592129698722896,0.453845091685918,0.238140488895305,0.363636363636364
Cytosolic sensors of pathogen-associated DNA,R-HSA-1834949,64,0.184699453551913,0.832116666666667,0.276481121751412,0.0385668644454587,Immune System,9.875,1961.90625,0.00382513661202186,160.819672131148,Equilibrium,0.000348889438258614,0.31733534608516,0.313498056757726,0.453125
Chemokine receptors bind chemokines,R-HSA-380108,57,0.104545454545455,1.38998214285714,0.181864308766234,0.155555555555556,Signal Transduction,20,653.946428571429,0.0525974025974026,6.46428571428571,Equilibrium,0.000315930975625822,0.785802729722431,0.122366238060665,0
