pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
2-LTR circle formation,R-HSA-164843,13,7,12,0.571428571428571,0.558285714285714,0.136268904761905,0.00948241801659423,Disease,Other,-0.243038048686294,0.599734767696443,-0.0414490534107287,Equilibrium
ABC transporter disorders,R-HSA-5619084,65,64,671,0.332837301587302,0.567765625,0.155095642609127,0.0692895497728212,Disease,Other,-0.477768007604496,0.630078967473618,-0.0623133424736179,Equilibrium
ABC transporters in lipid homeostasis,R-HSA-1369062,18,18,13,0.0849673202614379,0.784388888888889,0.145307428104575,0.0218671152228764,Transport of small molecules,Transport & Vesicles,-1.07074807851076,0.706735163463213,0.0776537254256764,Equilibrium
ABC-family proteins mediated transport,R-HSA-382556,90,89,725,0.185137895812053,0.606011235955056,0.147296488508682,0.0662433185618347,Transport of small molecules,Transport & Vesicles,-0.732504676560107,0.663009490739525,-0.0569982547844685,Equilibrium
ADORA2B mediated anti-inflammatory cytokines production,R-HSA-9660821,43,43,139,0.153931339977852,0.815928571428571,0.298290994773519,0.0591237771161208,Disease,Other,-0.812672950059411,0.673373068180024,0.142555503248547,Equilibrium
ADP signalling through P2Y purinoceptor 1,R-HSA-418592,25,25,81,0.27,1.05832,0.332038476666667,0.0590379008746356,Hemostasis,Other,-0.568636235841013,0.641825758056782,0.416494241943218,Equilibrium
ADP signalling through P2Y purinoceptor 12,R-HSA-392170,22,22,95,0.411255411255411,1.14831818181818,0.286150036796537,0.0831509846827133,Hemostasis,Other,-0.385888374603297,0.618201429761385,0.530116752056797,Equilibrium
AKT phosphorylates targets in the cytosol,R-HSA-198323,14,14,24,0.263736263736264,0.536928571428572,0.221487302197802,0.0121028744326778,Signal Transduction,Signal Transduction,-0.578830150609488,0.643143553994172,-0.1062149825656,Equilibrium
AKT phosphorylates targets in the nucleus,R-HSA-198693,10,10,13,0.288888888888889,0.4739,0.165783877777778,0.0130325814536341,Signal Transduction,Signal Transduction,-0.539269161468507,0.638029394031766,-0.164129394031766,Equilibrium
ALK mutants bind TKIs,R-HSA-9700645,12,12,6,0.0909090909090909,0.321166666666667,0.0298465151515152,0.00253164556962025,Disease,Other,-1.04139268515822,0.702940309476392,-0.381773642809725,Equilibrium
AMPK-induced ERAD and lysosome mediated degradation of PD-L1(CD274),R-HSA-9931269,55,54,663,0.463312368972746,0.490962962962963,0.116836111809923,0.0709812108559499,Immune System,Immune System,-0.334126105355003,0.611509976117253,-0.12054701315429,Equilibrium
APC truncation mutants have impaired AXIN binding,R-HSA-5467337,14,14,44,0.483516483516484,0.351071428571429,0.053993456043956,0.0242491044364839,Disease,Other,-0.315588715834906,0.609113595810548,-0.25804216723912,Equilibrium
APC-Cdc20 mediated degradation of Nek2A,R-HSA-179409,26,26,171,0.526153846153846,0.674538461538462,0.112131218461538,0.0518260342476133,Cell Cycle,Cell Cycle & DNA,-0.278887250586721,0.604369094517494,0.0701693670209677,Equilibrium
APC/C-mediated degradation of cell cycle proteins,R-HSA-174143,75,74,1031,0.381710477600889,0.475135135135135,0.101718556830803,0.0808976421201303,Cell Cycle,Cell Cycle & DNA,-0.418265918903934,0.622386965672867,-0.147251830537732,Equilibrium
APC/C:Cdc20 mediated degradation of Cyclin B,R-HSA-174048,24,24,132,0.478260869565217,0.647708333333333,0.124180650362319,0.0400363967242948,Cell Cycle,Cell Cycle & DNA,-0.320335150859368,0.609727180771222,0.0379811525621119,Equilibrium
APC/C:Cdc20 mediated degradation of Securin,R-HSA-174154,55,54,680,0.475192173305381,0.479833333333333,0.117763877358491,0.0813883901855177,Cell Cycle,Cell Cycle & DNA,-0.32313072105354,0.610088571966679,-0.130255238633345,Equilibrium
APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176409,63,62,774,0.409307244843998,0.487548387096774,0.111700218931782,0.0838161243164221,Cell Cycle,Cell Cycle & DNA,-0.387950568162147,0.618468015303415,-0.130919628206641,Equilibrium
APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1,R-HSA-174178,61,60,806,0.455367231638418,0.46625,0.111394190677966,0.07794217193695,Cell Cycle,Cell Cycle & DNA,-0.341638224556716,0.6124810888242,-0.1462310888242,Equilibrium
APC:Cdc20 mediated degradation of cell cycle proteins prior to satisfation of the cell cycle checkpoint,R-HSA-179419,61,60,755,0.426553672316384,0.471133333333333,0.100695032768362,0.0830583058305831,Cell Cycle,Cell Cycle & DNA,-0.370026314732618,0.616150896817863,-0.145017563484529,Equilibrium
APOBEC3G mediated resistance to HIV-1 infection,R-HSA-180689,11,5,4,0.4,0.8056,0.2834873,0.00464576074332172,Disease,Other,-0.397940008672038,0.619759378280222,0.185840621719778,Equilibrium
ATF4 activates genes in response to endoplasmic reticulum  stress,R-HSA-380994,27,27,70,0.199430199430199,0.912384615384615,0.143032486153846,0.0304546443332608,Cellular responses to stimuli,Signal Transduction,-0.700209076451567,0.658834547983458,0.253550067401157,Equilibrium
ATF6 (ATF6-alpha) activates chaperone genes,R-HSA-381183,10,10,14,0.311111111111111,0.6456,0.0925431555555556,0.00844900422450211,Cellular responses to stimuli,Signal Transduction,-0.507084478097106,0.633868789793228,0.0117312102067717,Equilibrium
ATF6 (ATF6-alpha) activates chaperones,R-HSA-381033,12,12,15,0.227272727272727,0.601166666666667,0.0944281515151515,0.00883652430044183,Cellular responses to stimuli,Signal Transduction,-0.643452676486187,0.651497489062135,-0.050330822395468,Equilibrium
ATP-dependent chromatin remodelers,R-HSA-9932444,31,29,325,0.800492610837438,0.332413793103448,0.0489397512315271,0.0933908045977011,Chromatin organization,Other,-0.0966426725983198,0.580809827058524,-0.248396033955076,Topology-Amplified
AUF1 (hnRNP D0) binds and destabilizes mRNA,R-HSA-450408,42,41,631,0.769512195121951,0.411756097560976,0.14792488902439,0.0628736548425668,Metabolism of RNA,Other,-0.113784493139582,0.583025798251318,-0.171269700690343,Equilibrium
AURKA Activation by TPX2,R-HSA-8854518,72,70,553,0.228985507246377,0.642695652173913,0.150549685421995,0.0522116791766983,Cell Cycle,Cell Cycle & DNA,-0.640192003782833,0.651075972761554,-0.00838032058764138,Equilibrium
AXIN missense mutants destabilize the destruction complex,R-HSA-5467340,14,14,44,0.483516483516484,0.351071428571429,0.053993456043956,0.0242491044364839,Disease,Other,-0.315588715834906,0.609113595810548,-0.25804216723912,Equilibrium
Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,R-HSA-9659787,17,17,77,0.566176470588235,0.429058823529412,0.0839641838235294,0.0487341772151899,Disease,Other,-0.247048183197736,0.600253169025823,-0.171194345496411,Decoupled
Aberrant regulation of mitotic cell cycle due to RB1 defects,R-HSA-9687139,36,36,217,0.344444444444444,0.514277777777778,0.101328777777778,0.0608269096005606,Disease,Other,-0.462880815605052,0.62815445843253,-0.113876680654752,Equilibrium
Aberrant regulation of mitotic exit in cancer due to RB1 defects,R-HSA-9687136,20,20,112,0.589473684210526,0.5673,0.114429168421053,0.0521658127619935,Disease,Other,-0.229535578282647,0.597989265497653,-0.0306892654976527,Equilibrium
Abortive elongation of HIV-1 transcript in the absence of Tat,R-HSA-167242,23,23,171,0.675889328063241,0.815478260869565,0.269187079051383,0.0725498515061519,Disease,Other,-0.170124410783664,0.590309017335497,0.225169243534068,Equilibrium
Acetylcholine Neurotransmitter Release Cycle,R-HSA-264642,17,16,19,0.158333333333333,0.390125,0.05581985,0.0329575021682567,Neuronal System,Other,-0.800427645094796,0.671790083281585,-0.281665083281585,Topology-Amplified
Acetylcholine binding and downstream events,R-HSA-181431,14,13,8,0.102564102564103,0.9975,0.0424293461538461,0.0237037037037037,Neuronal System,Other,-0.989004615698537,0.696167956884709,0.301332043115291,Equilibrium
Acetylcholine regulates insulin secretion,R-HSA-399997,10,10,4,0.0888888888888889,0.6316,0.224798266666667,0.00587803085966201,Metabolism,Metabolism,-1.05115252244738,0.704201991001238,-0.0726019910012379,Equilibrium
Action of antimicrobials and antimicrobial resistance,R-HSA-9638737,31,0,0,0,,,0,Disease,Other,-6,1.34395337688188,,Equilibrium
Activated NOTCH1 Transmits Signal to the Nucleus,R-HSA-2122948,31,30,62,0.142528735632184,0.545451612903226,0.206536522580645,0.0189139719341062,Signal Transduction,Signal Transduction,-0.846097567456383,0.677693962165793,-0.132242349262567,Equilibrium
Activated NTRK2 signals through FRS2 and FRS3,R-HSA-9028731,11,11,23,0.418181818181818,0.583818181818182,0.261162363636364,0.01068524970964,Signal Transduction,Signal Transduction,-0.378634853476651,0.617263746752495,-0.0334455649343135,Equilibrium
Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,R-HSA-5625886,35,7,3,0.142857142857143,0.634857142857143,0.298965142857143,0.00278035217794254,Signal Transduction,Signal Transduction,-0.845098040014257,0.677564750451505,-0.0427076075943616,Equilibrium
Activated point mutants of FGFR2,R-HSA-2033519,17,17,12,0.0882352941176471,0.907294117647059,0.325158220588235,0.0386473429951691,Disease,Other,-1.05435766232259,0.704616328417456,0.202677789229603,Equilibrium
Activation of AMPK downstream of NMDARs,R-HSA-9619483,29,28,102,0.26984126984127,0.763222222222222,0.179511948717949,0.0263293753226639,Neuronal System,Other,-0.568891628075308,0.641858773326817,0.121363448895405,Equilibrium
Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,R-HSA-176814,64,63,805,0.412186379928315,0.484730158730159,0.110398974398362,0.0834369817578773,Cell Cycle,Cell Cycle & DNA,-0.384906362919986,0.618074482358338,-0.133344323628179,Equilibrium
Activation of ATR in response to replication stress,R-HSA-176187,37,37,269,0.403903903903904,0.807378378378378,0.134016352852853,0.0348039849915901,Cell Cycle,Cell Cycle & DNA,-0.393721949167893,0.619214097904186,0.188164280474192,Equilibrium
Activation of BAD and translocation to mitochondria,R-HSA-111447,15,15,40,0.380952380952381,0.600533333333333,0.241940695238095,0.00911680911680912,Programmed Cell Death,Other,-0.419129307741976,0.622498578368186,-0.0219652450348523,Equilibrium
Activation of BH3-only proteins,R-HSA-114452,30,30,89,0.204597701149425,0.597366666666667,0.244257205747126,0.0134167483229065,Programmed Cell Death,Other,-0.689099250309725,0.657398349615379,-0.0600316829487119,Equilibrium
Activation of Ca-permeable Kainate Receptor,R-HSA-451308,10,10,17,0.377777777777778,0.3222,0.0287026222222222,0.0299823633156966,Neuronal System,Other,-0.42276359239707,0.622968392533065,-0.300768392533065,Equilibrium
Activation of G protein gated Potassium channels,R-HSA-1296041,29,29,71,0.17487684729064,1.02010344827586,0.316651667487685,0.077215878194671,Neuronal System,Other,-0.757267684858119,0.666210674237114,0.353892774038748,Equilibrium
Activation of GABAB receptors,R-HSA-991365,43,43,112,0.124031007751938,0.846372093023256,0.29418219158361,0.0774550484094053,Neuronal System,Other,-0.906469727643324,0.685498440546546,0.16087365247671,Equilibrium
Activation of HOX genes during differentiation,R-HSA-5619507,91,62,290,0.153358011634056,0.545258064516129,0.224257407720783,0.0373687262418659,Developmental Biology,Other,-0.814293530946084,0.673582565214007,-0.128324500697878,Equilibrium
"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",R-HSA-936964,18,18,38,0.248366013071895,0.861176470588235,0.250354529411765,0.0143884892086331,Immune System,Immune System,-0.604907834200789,0.646514689252182,0.214661781336053,Equilibrium
Activation of Matrix Metalloproteinases,R-HSA-1592389,33,33,20,0.0378787878787879,1.075,0.289362064516129,0.0281491907107671,Extracellular matrix organization,Other,-1.42160392686983,0.752091282488939,0.322908717511061,Equilibrium
Activation of NF-kappaB in B cells,R-HSA-1169091,54,53,688,0.499274310595065,0.373301886792453,0.08401856095791,0.0680716335213219,Immune System,Immune System,-0.301660779336096,0.607313092416983,-0.23401120562453,Equilibrium
Activation of NMDA receptors and postsynaptic events,R-HSA-442755,94,93,367,0.0857877512856475,0.531411111111111,0.143382536953808,0.0380863428808634,Neuronal System,Other,-1.06657471598342,0.706195661190661,-0.17478455007955,Equilibrium
Activation of PPARGC1A (PGC-1alpha) by phosphorylation,R-HSA-2151209,10,10,15,0.333333333333333,0.7017,0.0994135666666667,0.0223380491437081,Organelle biogenesis and maintenance,Other,-0.477121254719662,0.629995359915238,0.0717046400847623,Equilibrium
Activation of RAC1,R-HSA-428540,13,12,19,0.287878787878788,0.470333333333333,0.0560749696969697,0.0159730979403111,Developmental Biology,Other,-0.54079033458904,0.638226040345163,-0.16789270701183,Equilibrium
Activation of SMO,R-HSA-5635838,18,17,7,0.0514705882352941,0.677705882352941,0.174069220588235,0.00730307772561294,Signal Transduction,Signal Transduction,-1.28844086835596,0.734876920636251,-0.0571710382833097,Equilibrium
Activation of anterior HOX genes in hindbrain development during early embryogenesis,R-HSA-5617472,91,62,290,0.153358011634056,0.545258064516129,0.224257407720783,0.0373687262418659,Developmental Biology,Other,-0.814293530946084,0.673582565214007,-0.128324500697878,Equilibrium
Activation of gene expression by SREBF (SREBP),R-HSA-2426168,42,42,57,0.0662020905923345,0.557476190476191,0.189878304297329,0.0205701912666907,Metabolism,Metabolism,-1.17912829578116,0.720745777957857,-0.163269587481667,Equilibrium
Activation of kainate receptors upon glutamate binding,R-HSA-451326,30,30,74,0.170114942528736,0.871,0.371238896551724,0.0519298245614035,Neuronal System,Other,-0.769257537223661,0.667760636061994,0.203239363938006,Equilibrium
Activation of the AP-1 family of transcription factors,R-HSA-450341,10,10,26,0.577777777777778,0.5189,0.0695169888888889,0.0208,Immune System,Immune System,-0.238239165804526,0.599114402654235,-0.0802144026542354,Equilibrium
Activation of the TFAP2 (AP-2) family of transcription factors,R-HSA-8866907,12,12,23,0.348484848484849,0.751833333333333,0.390727424242424,0.0156889495225102,Gene expression (Transcription),Other,-0.457816099524276,0.627499728387511,0.124333604945822,Equilibrium
"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",R-HSA-72662,61,60,929,0.524858757062147,0.53655,0.182367234745763,0.083950840412073,Metabolism of proteins,Other,-0.279957552368165,0.604507455429018,-0.0679574554290184,Topology-Amplified
Activation of the phototransduction cascade,R-HSA-2485179,11,11,3,0.0545454545454545,1.105,0.1910212,0.0159574468085106,Sensory Perception,Other,-1.26324143477458,0.731619319218907,0.373380680781093,Equilibrium
Activation of the pre-replicative complex,R-HSA-68962,33,33,228,0.431818181818182,0.81453125,0.166758708669355,0.0305937604830594,DNA Replication,Cell Cycle & DNA,-0.364699075533358,0.615462229673421,0.199069020326579,Equilibrium
Acyl chain remodelling of PC,R-HSA-1482788,27,26,1,0.00307692307692308,1.14096153846154,0.273016678461539,0.00200803212851406,Metabolism,Metabolism,-2.51188336097887,0.893034761174074,0.247926777287465,Equilibrium
Acyl chain remodelling of PE,R-HSA-1482839,29,24,1,0.0036231884057971,1.13341666666667,0.250809992753623,0.0027972027972028,Metabolism,Metabolism,-2.44090908206522,0.883859717185984,0.249556949480682,Equilibrium
Acyl chain remodelling of PG,R-HSA-1482925,18,18,1,0.0065359477124183,1.204,0.290630235294118,0.00359066427289048,Metabolism,Metabolism,-2.1846914308176,0.850737743187746,0.353262256812254,Equilibrium
Acyl chain remodelling of PI,R-HSA-1482922,17,16,1,0.00833333333333333,1.2934375,0.2245070625,0.00334448160535117,Metabolism,Metabolism,-2.07918124604762,0.837098145839618,0.456339354160382,Equilibrium
Acyl chain remodelling of PS,R-HSA-1482801,22,21,2,0.00952380952380953,1.13442857142857,0.290253257142857,0.00453514739229025,Metabolism,Metabolism,-2.02118929906994,0.829601364292566,0.304827207136005,Equilibrium
Adenylate cyclase activating pathway,R-HSA-170660,10,10,1,0.0222222222222222,0.4401,0.0501701,0.00518134715025907,Signal Transduction,Signal Transduction,-1.65321251377534,0.782031973756299,-0.341931973756299,Equilibrium
Adenylate cyclase inhibitory pathway,R-HSA-170670,14,14,6,0.0659340659340659,0.4865,0.0616153461538462,0.0113960113960114,Signal Transduction,Signal Transduction,-1.18089014193745,0.720973536749234,-0.234473536749234,Equilibrium
Adherens junctions interactions,R-HSA-418990,217,180,1529,0.0949099937926754,0.481965317919075,0.14172776623202,0.0547498836251656,Cell-Cell communication,Other,-1.0226880550069,0.700522309504485,-0.21855699158541,Equilibrium
Adipogenesis,R-HSA-9843745,110,109,979,0.166326877336052,0.625862385321101,0.271625212368332,0.0787009124160939,Developmental Biology,Other,-0.779037565960454,0.669024927791876,-0.0431625424707746,Equilibrium
"Adrenaline,noradrenaline inhibits insulin secretion",R-HSA-400042,28,28,87,0.23015873015873,0.951142857142857,0.349144349206349,0.0777132648503796,Metabolism,Metabolism,-0.637972547218607,0.650789057389984,0.300353799752873,Equilibrium
Advanced glycosylation endproduct receptor signaling,R-HSA-879415,13,13,12,0.153846153846154,0.865384615384615,0.320720756410256,0.00416233090530697,Immune System,Immune System,-0.812913356642856,0.673404146212967,0.191980469171649,Equilibrium
Aerobic respiration and respiratory electron transport,R-HSA-1428517,261,217,2340,0.0998463901689708,1.09929816513761,0.236050025895235,0.133534967329586,Metabolism,Metabolism,-1.00066763192534,0.697675667685757,0.401622497451858,Equilibrium
Aflatoxin activation and detoxification,R-HSA-5423646,19,18,4,0.0261437908496732,1.25838888888889,0.138960251633987,0.00814663951120163,Metabolism,Metabolism,-1.58263143948964,0.772907760432684,0.485481128456205,Equilibrium
Aggrephagy,R-HSA-9646399,44,42,196,0.227642276422764,0.735390243902439,0.202379443902439,0.0217198581560284,Autophagy,Other,-0.642747080097179,0.651406274639021,0.0839839692634177,Equilibrium
Alpha-defensins,R-HSA-1462054,10,8,1,0.0357142857142857,1.65085714285714,0.215037476190476,0.005249343832021,Immune System,Immune System,-1.44715803134222,0.755394733206566,0.895462409650577,Equilibrium
Alpha-protein kinase 1 signaling pathway,R-HSA-9645460,11,11,25,0.454545454545455,0.654272727272727,0.204982618181818,0.0114600045840018,Immune System,Immune System,-0.342422680822206,0.612582497684604,0.0416902295881234,Equilibrium
Amine ligand-binding receptors,R-HSA-375280,43,37,8,0.012012012012012,1.002,0.23806785,0.0134793597304128,Signal Transduction,Signal Transduction,-1.92038424217836,0.816570012014549,0.185429987985451,Equilibrium
Amino acid transport across the plasma membrane,R-HSA-352230,32,32,17,0.0342741935483871,0.772,0.158689,0.00968109339407745,Transport of small molecules,Transport & Vesicles,-1.46503275511192,0.757705448854153,0.0142945511458469,Equilibrium
Amino acids regulate mTORC1,R-HSA-9639288,55,51,268,0.210196078431373,0.707392156862745,0.161927683137255,0.0960057316854738,Cellular responses to stimuli,Signal Transduction,-0.677375390741185,0.65588277342499,0.0515093834377551,Equilibrium
Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal,R-HSA-141444,94,90,511,0.127590511860175,0.652733333333333,0.174843703370787,0.0555042632922392,Cell Cycle,Cell Cycle & DNA,-0.894181620285544,0.68390992246276,-0.0311765891294269,Equilibrium
Amplification of signal from the kinetochores,R-HSA-141424,94,90,511,0.127590511860175,0.652733333333333,0.174843703370787,0.0555042632922392,Cell Cycle,Cell Cycle & DNA,-0.894181620285544,0.68390992246276,-0.0311765891294269,Equilibrium
Amyloid fiber formation,R-HSA-977225,80,52,74,0.0558069381598793,0.87168,0.277325895510204,0.013398515299656,Metabolism of proteins,Other,-1.25331180433778,0.730335688057906,0.141344311942094,Equilibrium
Anchoring fibril formation,R-HSA-2214320,15,15,8,0.0761904761904762,0.488,0.078291,0.0242424242424242,Extracellular matrix organization,Other,-1.11809931207799,0.712856390159974,-0.224856390159974,Equilibrium
Anchoring of the basal body to the plasma membrane,R-HSA-5620912,97,94,721,0.164950812171128,0.70889010989011,0.149611698901099,0.0589630356558718,Organelle biogenesis and maintenance,Other,-0.782645541770224,0.669491340938571,0.0393987689515385,Equilibrium
Androgen biosynthesis,R-HSA-193048,11,11,1,0.0181818181818182,1.2335,0.100366722222222,0.00529100529100529,Metabolism,Metabolism,-1.74036268949424,0.79329812126818,0.44020187873182,Equilibrium
Anti-inflammatory response favouring Leishmania parasite infection,R-HSA-9662851,159,128,234,0.0287893700787402,0.753346666666667,0.275439391711712,0.0402234636871508,Disease,Other,-1.5407678375297,0.767495935256559,-0.014149268589892,Equilibrium
"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",R-HSA-983170,31,30,108,0.248275862068966,0.674862068965517,0.105187694581281,0.0258868648130393,Immune System,Immune System,-0.605065501467688,0.646535071341742,0.0283269976237753,Equilibrium
Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,R-HSA-983695,95,78,90,0.02997002997003,0.423933333333333,0.12773696091954,0.026909851995814,Immune System,Immune System,-1.52331282275966,0.765239476567873,-0.34130614323454,Equilibrium
Antigen processing-Cross presentation,R-HSA-1236975,101,97,848,0.18213058419244,0.714378947368421,0.245564897424412,0.0718826820378062,Immune System,Immune System,-0.739617119385118,0.663928936160895,0.0504500112075256,Equilibrium
"Antigen processing: Ub, ATP-independent proteasomal degradation",R-HSA-9912633,19,19,166,0.970760233918129,0.512263157894737,0.101274760233918,0.0661091198725607,Immune System,Immune System,-0.0128880223520988,0.569982628642729,-0.057719470747992,Equilibrium
Antigen processing: Ubiquitination & Proteasome degradation,R-HSA-983168,296,289,3074,0.0738658208381392,0.628885813148789,0.188673976499423,0.0909750070288107,Immune System,Immune System,-1.13155647168807,0.714596034905465,-0.0857102217566765,Equilibrium
Antimicrobial mechanism of IFN-stimulated genes,R-HSA-1169410,173,157,1176,0.096031357177854,0.638225806451613,0.186015747381651,0.0463923626178548,Immune System,Immune System,-1.01758693335959,0.69986287320983,-0.0616370667582172,Equilibrium
Antimicrobial peptides,R-HSA-6803157,95,81,23,0.00709876543209877,1.58004938271605,0.155255522530864,0.0134778786990917,Immune System,Immune System,-2.14881717418902,0.846100177471754,0.733949205244296,Equilibrium
Antimicrobial resistance,R-HSA-9913143,29,0,0,0,,,0,Disease,Other,-6,1.34395337688188,,Equilibrium
Apoptosis,R-HSA-109581,168,157,1456,0.118895966029724,0.578296774193548,0.188264080184332,0.0585597361594305,Programmed Cell Death,Other,-0.924832880122696,0.68787229674258,-0.109575522549031,Equilibrium
Apoptosis induced DNA fragmentation,R-HSA-140342,13,7,4,0.19047619047619,0.578857142857143,0.171805142857143,0.00411946446961895,Programmed Cell Death,Other,-0.720159303405957,0.661413569745716,-0.0825564268885736,Equilibrium
Apoptotic cleavage of cell adhesion  proteins,R-HSA-351906,11,11,18,0.327272727272727,0.539636363636364,0.108785254545455,0.00901352028042063,Programmed Cell Death,Other,-0.485090184390938,0.631025525792103,-0.0913891621557389,Equilibrium
Apoptotic cleavage of cellular proteins,R-HSA-111465,38,38,98,0.139402560455192,0.485027027027027,0.0779045825825826,0.0161383285302594,Programmed Cell Death,Other,-0.855729249327329,0.678939076680485,-0.193912049653458,Equilibrium
Apoptotic execution phase,R-HSA-75153,52,46,124,0.119806763285024,0.491933333333333,0.0882300181818182,0.0171353554895322,Programmed Cell Death,Other,-0.921518664630702,0.687443858815623,-0.195510525482289,Equilibrium
Apoptotic factor-mediated response,R-HSA-111471,20,18,26,0.169934640522876,0.965,0.179948823529412,0.0153437592210091,Programmed Cell Death,Other,-0.769718082846781,0.667820172085682,0.297179827914318,Equilibrium
Aquaporin-mediated transport,R-HSA-445717,52,51,103,0.0807843137254902,0.911607843137255,0.286122803137255,0.0359135285913529,Transport of small molecules,Transport & Vesicles,-1.0926729600648,0.709569454360859,0.202038388776396,Equilibrium
Arachidonate metabolism,R-HSA-2142753,59,57,12,0.0075187969924812,1.18447368421053,0.190996218045113,0.00888230940044412,Metabolism,Metabolism,-2.12385164096709,0.842872813009538,0.341600871200989,Equilibrium
Aspartate and asparagine metabolism,R-HSA-8963693,12,12,2,0.0303030303030303,0.877090909090909,0.112622490909091,0.00340425531914894,Metabolism,Metabolism,-1.51851393987789,0.764619111525666,0.112471797565244,Equilibrium
Aspirin ADME,R-HSA-9749641,44,43,16,0.017718715393134,1.30352272727273,0.102157836680761,0.0157557853274249,Drug ADME,Other,-1.75156776765758,0.794746633132086,0.508776094140641,Equilibrium
Assembly Of The HIV Virion,R-HSA-175474,24,16,36,0.3,0.657625,0.111954116666667,0.0144810941271118,Disease,Other,-0.522878745280338,0.63591055898601,0.0217144410139901,Equilibrium
Assembly and cell surface presentation of NMDA receptors,R-HSA-9609736,44,43,138,0.152823920265781,0.585,0.2033097,0.0370967741935484,Neuronal System,Other,-0.815808663912269,0.67377843069972,-0.0887784306997203,Equilibrium
Assembly and release of respiratory syncytial virus (RSV) virions,R-HSA-9820962,11,2,1,1,0.283,0.0098,0.000867302688638335,Disease,Other,0,0.568316557865964,-0.285316557865964,Equilibrium
Assembly of active LPL and LIPC lipase complexes,R-HSA-8963889,19,18,6,0.0392156862745098,1.02983333333333,0.216860029411765,0.0118343195266272,Transport of small molecules,Transport & Vesicles,-1.40654018043396,0.750143949760942,0.279689383572392,Equilibrium
Assembly of collagen fibrils and other multimeric structures,R-HSA-2022090,61,61,56,0.0306010928961749,0.634655737704918,0.145876996174863,0.0274644433545856,Extracellular matrix organization,Other,-1.51426306272423,0.764069588720084,-0.129413851015166,Equilibrium
Assembly of the ORC complex at the origin of replication,R-HSA-68616,37,9,18,0.5,0.655222222222222,0.202749444444444,0.0226700251889169,DNA Replication,Cell Cycle & DNA,-0.301029995663981,0.607231549243495,0.0479906729787271,Equilibrium
Assembly of the pre-replicative complex,R-HSA-68867,101,72,836,0.327073552425665,0.524472222222222,0.126964534428795,0.0748098434004474,DNA Replication,Cell Cycle & DNA,-0.485354572047346,0.63105970392557,-0.106587481703348,Equilibrium
Association of TriC/CCT with target proteins during biosynthesis,R-HSA-390471,39,37,134,0.201201201201201,0.534324324324324,0.159217225225225,0.0207414286819906,Metabolism of proteins,Other,-0.696369430805493,0.658338186227614,-0.124013861903289,Equilibrium
Asymmetric localization of PCP proteins,R-HSA-4608870,51,50,567,0.462857142857143,0.3946,0.0709448163265306,0.0713207547169811,Signal Transduction,Signal Transduction,-0.334553029807645,0.611565165837987,-0.216965165837987,Equilibrium
Attachment and Entry_9678110,R-HSA-9678110,11,4,2,0.333333333333333,0.525,0.157818,0.00129743756081739,Disease,Other,-0.477121254719662,0.629995359915238,-0.104995359915238,Equilibrium
Attachment and Entry_9694614,R-HSA-9694614,26,19,12,0.0701754385964912,0.601526315789474,0.120092485380117,0.00508474576271186,Disease,Other,-1.15381486434453,0.717473439718209,-0.115947123928735,Equilibrium
Attachment of bacteria to epithelial cells,R-HSA-9638630,29,23,5,0.0197628458498024,0.567739130434783,0.12839138339921,0.00488042947779405,Disease,Other,-1.7041505168398,0.788616872200289,-0.220877741765506,Equilibrium
Attenuation phase,R-HSA-3371568,29,28,90,0.238095238095238,0.872392857142857,0.334135432539683,0.0130133024869867,Cellular responses to stimuli,Signal Transduction,-0.6232492903979,0.64888574070899,0.223507116433867,Equilibrium
Autodegradation of Cdh1 by Cdh1:APC/C,R-HSA-174084,54,53,703,0.510159651669086,0.449698113207547,0.101783868650218,0.0801367911085779,Cell Cycle,Cell Cycle & DNA,-0.292293892551783,0.606102208705405,-0.156404095497858,Equilibrium
Autodegradation of the E3 ubiquitin ligase COP1,R-HSA-349425,39,37,557,0.836336336336336,0.381783783783784,0.0793853963963964,0.0680346891413216,Cell Cycle,Cell Cycle & DNA,-0.0776190339965722,0.578350587969996,-0.196566804186212,Decoupled
Autophagy,R-HSA-9612973,160,157,1141,0.0931732810713702,0.718764705882353,0.218548891640867,0.0491122350156031,Autophagy,Other,-1.0307086106815,0.701559149219516,0.017205556662837,Equilibrium
Azathioprine ADME,R-HSA-9748787,23,23,13,0.0513833992094862,0.925956521739131,0.238126225296443,0.00843608046722907,Drug ADME,Other,-1.28917716886898,0.734972104267544,0.190984417471586,Equilibrium
