pathway,reactome_id,n_genes,n_in_network,n_edges,density,mean_loeuf,loeuf_variance,insularity,root_category,super_pathway,log_density,predicted_loeuf,residual,regime
Pausing and recovery of Tat-mediated HIV elongation,R-HSA-167238,32,27,197,0.561253561253561,0.760222222222222,0.255387333333333,0.0610947433710653,Disease,Other,-0.250840890304231,0.60074346290508,0.159478759317142,Equilibrium
Pentose phosphate pathway,R-HSA-71336,15,15,14,0.133333333333333,0.8894,0.198832685714286,0.0166765932102442,Metabolism,Metabolism,-0.8750612633917,0.681438180329495,0.207961819670505,Equilibrium
Peptide chain elongation,R-HSA-156902,94,90,2881,0.719350811485643,0.619662921348315,0.185766498723187,0.145233654282402,Metabolism of proteins,Other,-0.143059262139843,0.586810229702116,0.0328526916461983,Equilibrium
Peptide hormone biosynthesis,R-HSA-209952,12,10,1,0.0222222222222222,1.09172727272727,0.270968418181818,0.0114285714285714,Metabolism of proteins,Other,-1.65321251377534,0.782031973756299,0.309695298970973,Equilibrium
Peptide hormone metabolism,R-HSA-2980736,86,79,87,0.0282375851996105,0.894036144578313,0.30439244989715,0.0170655158885838,Metabolism of proteins,Other,-1.54917244569832,0.768582422514056,0.125453722064257,Equilibrium
Peptide ligand-binding receptors,R-HSA-375276,200,188,238,0.0135396518375242,1.31616580310881,0.208188753616149,0.0537367351546625,Signal Transduction,Signal Transduction,-1.86839250307969,0.809848894159616,0.506316908949193,Equilibrium
Peroxisomal lipid metabolism,R-HSA-390918,28,28,11,0.0291005291005291,1.04760714285714,0.163143580687831,0.00973020787262273,Metabolism,Metabolism,-1.536099114679,0.766892396366428,0.280714746490715,Equilibrium
Peroxisomal protein import,R-HSA-9033241,63,63,172,0.0880696364567332,1.02355555555556,0.190157702508961,0.0404610679840038,Protein localization,Other,-1.05517379638031,0.704721832354859,0.318833723200697,Equilibrium
Pervasive developmental disorders,R-HSA-9005895,13,13,31,0.397435897435897,0.328846153846154,0.0256184743589744,0.0122967076556922,Disease,Other,-0.400732908856208,0.620120424316002,-0.291274270469848,Equilibrium
Pexophagy,R-HSA-9664873,11,11,21,0.381818181818182,0.763636363636364,0.138054454545455,0.00703871292106586,Autophagy,Other,-0.418143394760325,0.622371126633367,0.141265237002997,Equilibrium
Phase 0 - rapid depolarisation,R-HSA-5576892,32,32,27,0.0544354838709677,0.6291875,0.232585254032258,0.0208413739868777,Muscle contraction,Other,-1.26411791233121,0.731732623929567,-0.102545123929567,Equilibrium
Phase 2 - plateau phase,R-HSA-5576893,15,14,5,0.054945054945055,0.896571428571429,0.430181032967033,0.0117370892018779,Muscle contraction,Other,-1.26007138798508,0.73120951838425,0.165361910187179,Equilibrium
Phase 4 - resting membrane potential,R-HSA-5576886,19,14,0,0,0.908631578947368,0.199764467836257,0,Muscle contraction,Other,-6,1.34395337688188,-0.43532179793451,Equilibrium
Phase I - Functionalization of compounds,R-HSA-211945,105,98,61,0.0128339995792131,1.07676,0.198843638787879,0.0217275155832591,Metabolism,Metabolism,-1.89163797928399,0.812853902029552,0.263906097970448,Equilibrium
Phase II - Conjugation of compounds,R-HSA-156580,106,102,66,0.0128130460104834,1.2315145631068,0.183711154197601,0.0295632698768197,Metabolism,Metabolism,-1.89234761433871,0.812945638542303,0.418568924564493,Equilibrium
Phenylalanine and tyrosine metabolism,R-HSA-8963691,11,10,2,0.0444444444444444,1.1785,0.163227833333333,0.0165289256198347,Metabolism,Metabolism,-1.35218251811136,0.743116982378769,0.435383017621231,Equilibrium
Phospholipase C-mediated cascade: FGFR1,R-HSA-5654219,16,16,14,0.116666666666667,0.9060625,0.357843529166667,0.0229320229320229,Signal Transduction,Signal Transduction,-0.933053210369387,0.688934961876547,0.217127538123453,Equilibrium
