Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes,library
Regulation Of Calcium Ion Transmembrane Transport (GO:1903169),Regulation Of Calcium Ion Transmembrane Transport (GO:1903169),-0.468718326729936,-1.58880305278675,0.0203305080221933,0.070727677107776,0.0203305080221933,,,CAV3;CACNA2D1;CACNB1;CACNG6;HRC;PRNP;DIAPH1;PTK2B;CAMK2D;NOS1;FYN;TRDN;NPPA;ATP1A2;PSEN2,GO_Biological_Process_2023
Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019),Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019),-0.187517285885498,-0.706730264682365,0.92,1,0.92,,,CAV3;DMD;CACNB4;CACNB1;HRC;CACNA1A;CACNB3;CAMK2D;NOS1;CACNB2;FKBP1B;SLN;PLN;CALM1;CALM2;PRKACA;PDE4D;ANK2;CABP2;FKBP1A;YWHAE,GO_Biological_Process_2023
Regulation Of Calcium Ion Transport (GO:0051924),Regulation Of Calcium Ion Transport (GO:0051924),-0.284562888045,-1.46739229261641,0.0230838238023663,0.0785902263356914,0.0230838238023663,,,HOMER3;HOMER2;HOMER1;EPB41;CAV3;GRIN3B;CCR1;CCL5;CCL4;CCL3;CACNA2D1;LILRB2;LILRB1;LILRA2;EGF,GO_Biological_Process_2023
Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),Regulation Of Calcium Ion-Dependent Exocytosis (GO:0017158),-0.259191007094813,-0.878573419989999,0.615384615384615,0.855595829417819,0.615384615384615,,,SYT7;SYT9;SYT2;KCNB1;TRPV6;SYT5;SYT10;SYT8;SYT11;STX1A;SYT1;STXBP1;STXBP3;REST;RAB3GAP1,GO_Biological_Process_2023
Regulation Of Calcium-Mediated Signaling (GO:0050848),Regulation Of Calcium-Mediated Signaling (GO:0050848),-0.190243452600516,-0.768986871272379,0.890243902439024,1,0.890243902439024,,,SLA2;LRRK2;CCL4;CCL3;RIT2;CD22;TREM2;PLEK;TRAT1;SLC8A2;P2RX5;P2RX3;P2RX2;CALM2;HTT;SLC24A4;ITPR1;PLCG2;P2RX4;MAPT;CDH13;GPR143;GBP1;CLEC7A,GO_Biological_Process_2023
Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),Regulation Of Canonical Wnt Signaling Pathway (GO:0060828),0.366213991445492,1.13428235777591,0.175824175824176,0.367004174864437,0.175824175824176,,,BMAL1;PFDN5;MLLT3;LATS1;LATS2;STK3;STK4;JADE1;CSNK1E;TBL1X;TBL1XR1;CSNK1D;NPHP4;VCP;NPHP3;UBE2B;RUVBL2;RUVBL1;USP47;DDX3X;PPM1A;AXIN2;WWTR1;HDAC1;NFKB1;PPP1CA;GNAQ;ILK;USP34;TLE3;LIMD1;TCF7L2;TLE5;RBX1;TLE2;TLE4;TLE1;ZEB2;FUZ;PPM1B;AXIN1;EMD;SIAH2;KANK1;NOG;RNF146;STK11;BTRC;OTUD5;CCAR2;SNAI2;DDIT3;APC;AMER1;GSK3B;RNF14;RNF220;CCDC88C;SFRP1;SFRP2;SOST;SOX9;FRAT1;CDH3;SOX2;SMURF2;TNKS;TNKS2;CSNK1A1;ATP6AP2;BAMBI;PRKN;GLI1;PIN1;DAB2;PTPRU;DAPK3;SOX17;CHD8;SOX13;SOX4;SOX7;APOE;AMFR;GLI3;GSK3A;PSEN1;DACT1;HECW1,GO_Biological_Process_2023
Regulation Of Carbohydrate Metabolic Process (GO:0006109),Regulation Of Carbohydrate Metabolic Process (GO:0006109),0.601175866555762,1.4279419622472,0.0407450523864959,0.122955397984502,0.0407450523864959,,,RORA;RORC;SIRT1;FOXK1;FOXK2;PDK4,GO_Biological_Process_2023
Regulation Of Cardiac Conduction (GO:1903779),Regulation Of Cardiac Conduction (GO:1903779),-0.349064429901373,-1.30633107642279,0.0960841759624753,0.233612594659528,0.0960841759624753,,,CORIN;TRPC1;TBX5;NKX2-5;RYR2;SLC8A2;SLC8A1;SLC8A3;ATP2B4;ATP2B3;ATP2B1;ATP2B2;ATP2A3;ATP2A2;ATP2A1;GJA5;PRKACA;AGT;ANK2,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),Regulation Of Cardiac Muscle Cell Action Potential (GO:0098901),-0.386122553269519,-1.56075370851225,0.021684916488618,0.0747863642248155,0.021684916488618,,,DLG1;CAV3;PKP2;DSC2;CAV1;RANGRF;FGF13;HCN4;HCN3;HCN2;HCN1;JUP,GO_Biological_Process_2023
Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),Regulation Of Cardiac Muscle Cell Contraction (GO:0086004),-0.349225378089266,-1.41161089748352,0.0467499552678461,0.136425388388464,0.0467499552678461,,,DLG1;CAV3;PKP2;DSC2;CAV1;RANGRF;FGF13;HCN4;JUP;DSG2;CAMK2D;CACNA1C;TRPM4;DSP;SCN5A;RYR2;SRI;PLN;ATP2A2;ATP2A1;GJA5;PDE4D;PDE4B;ANK2,GO_Biological_Process_2023
